,tournament,year,participants,event,event_name
qxnwpvit,LEWIS AND CLARK INVITATIONAL 2020,"2020 — Yankton, SD/US",19,LD,Novice LD
vyukpsft,LEWIS AND CLARK INVITATIONAL 2020,"2020 — Yankton, SD/US",23,LD,Varsity LD
nwwasiud,LEWIS AND CLARK INVITATIONAL 2020,"2020 — Yankton, SD/US",16,PF,Novice Public Forum
xdeanbdq,LEWIS AND CLARK INVITATIONAL 2020,"2020 — Yankton, SD/US",27,PF,Varsity Public Forum
tjqxueua,LINCOLN SILVER BOWL,"2020 — Sioux Falls, SD/US",7,LD,Novice LD
uwoycclt,LINCOLN SILVER BOWL,"2020 — Sioux Falls, SD/US",24,LD,Varsity LD
dhgqtcwd,LINCOLN SILVER BOWL,"2020 — Sioux Falls, SD/US",11,PF,JV Public Forum
kjuthalj,LINCOLN SILVER BOWL,"2020 — Sioux Falls, SD/US",18,PF,Novice Public Forum
lpprsaoy,LINCOLN SILVER BOWL,"2020 — Sioux Falls, SD/US",27,PF,Varsity Public Forum
lcoqidlz,2019 BROOKINGS BELL,"2019 — Brookings, SD/US",11,LD,Novice LD
pnodbgsr,2019 BROOKINGS BELL,"2019 — Brookings, SD/US",11,LD,Varsity LD
gdmjzmrv,2019 BROOKINGS BELL,"2019 — Brookings, SD/US",7,PF,JV Public Forum
rwnlpksm,2019 BROOKINGS BELL,"2019 — Brookings, SD/US",17,PF,Novice Public Forum
udzcghmf,2019 BROOKINGS BELL,"2019 — Brookings, SD/US",15,PF,Varsity Public Forum
cwrrbtxo,CFC 1 LENNOX,"2019 — Lennox, SD/US",3,LD,Novice Lincoln-Douglas
tzkkkihk,CFC 1 LENNOX,"2019 — Lennox, SD/US",3,LD,Varsity Lincoln-Douglas
qvjkbvrk,CFC 1 LENNOX,"2019 — Lennox, SD/US",17,PF,Novice Public Forum
dpatwkni,CFC 1 LENNOX,"2019 — Lennox, SD/US",12,PF,Varsity Public Forum
ibdghyrb,OGORMAN NOVICE JOUST,"2019 — Sioux Falls, SD/US",27,PF,Public Forum
blsolfww,NOVICE AFTER SCHOOL WASHINGTON,"2019 — Sioux Falls, SD/US",28,PF,Public Forum
ytoovsjq,GEORGE MCGOVERN TOURNAMENT,"2019 — Mitchell, SD/US",16,LD,Novice Lincoln-Douglas
ftzvakbu,GEORGE MCGOVERN TOURNAMENT,"2019 — Mitchell, SD/US",13,LD,Varsity Lincoln-Douglas
vntqiukt,GEORGE MCGOVERN TOURNAMENT,"2019 — Mitchell, SD/US",16,PF,Junior Varsity Public Forum
jtlkxsvb,GEORGE MCGOVERN TOURNAMENT,"2019 — Mitchell, SD/US",27,PF,Novice Public Forum
jrrvvwob,GEORGE MCGOVERN TOURNAMENT,"2019 — Mitchell, SD/US",18,PF,Varsity Public Forum
eotrgkul,SF ROOSEVELT SWEETSTAKES,"2019 — Sioux Falls, SD/US",20,LD,Novice Lincoln Douglas
zuwfuolk,SF ROOSEVELT SWEETSTAKES,"2019 — Sioux Falls, SD/US",16,LD,Varsity Lincoln Douglas
qnpuqsok,SF ROOSEVELT SWEETSTAKES,"2019 — Sioux Falls, SD/US",42,PF,Novice Public Forum
nzkiuwlo,SF ROOSEVELT SWEETSTAKES,"2019 — Sioux Falls, SD/US",45,PF,Varsity Public Forum
bojgcuor,SFL NOVICE AFTERSCHOOL,"2019 — Sioux Falls, SD/US",5,LD,Novice LD
wdpthbvu,SFL NOVICE AFTERSCHOOL,"2019 — Sioux Falls, SD/US",60,PF,Novice Public Forum
zdwmhkou,SFR NOVICE TOURNAMENT,"2019 — Sioux Falls, SD/US",7,LD,Lincoln-Douglas
tqegctno,SFR NOVICE TOURNAMENT,"2019 — Sioux Falls, SD/US",65,PF,Public Forum
vnyloqzm,TD PF,"2019 — Sioux Falls, SD/US",9,PF,Public Forum
kcznodnb,RUSHMORE DISTRICT TOURNAMENT,2019 — SD/US,13,LD,Lincoln Douglas
bfiigeux,RUSHMORE DISTRICT TOURNAMENT,2019 — SD/US,31,PF,Public Forum
uqavrfdw,THE RUSHMORE CHALLENGE HOSTED BY HHS,"2019 — Sioux Falls, SD/US",9,LD,Novice LD
rqingngn,THE RUSHMORE CHALLENGE HOSTED BY HHS,"2019 — Sioux Falls, SD/US",22,LD,Varsity LD
kmlkpbev,THE RUSHMORE CHALLENGE HOSTED BY HHS,"2019 — Sioux Falls, SD/US",20,PF,Novice PF
wxqpastz,THE RUSHMORE CHALLENGE HOSTED BY HHS,"2019 — Sioux Falls, SD/US",37,PF,Varsity PF
ypkypkkl,HURON CFC,"2019 — HURON, SD/US",6,LD,Novice Lincoln-Douglas
rxdctoml,HURON CFC,"2019 — HURON, SD/US",9,LD,Varsity Lincoln-Douglas
bfxcrzsa,HURON CFC,"2019 — HURON, SD/US",12,PF,Novice Public Forum
vxanhvuw,HURON CFC,"2019 — HURON, SD/US",19,PF,Varsity Public Forum
wcdqxprd,LEWIS AND CLARK INVITATIONAL,"2019 — Yankton, SD/US",6,LD,Novice LD
xkeaiqbc,LEWIS AND CLARK INVITATIONAL,"2019 — Yankton, SD/US",17,LD,Varsity LD
addeniui,LEWIS AND CLARK INVITATIONAL,"2019 — Yankton, SD/US",16,PF,Novice Public Forum
wvzzfzyt,LEWIS AND CLARK INVITATIONAL,"2019 — Yankton, SD/US",28,PF,Varsity Public Forum
gadelcru,LINCOLN SILVER BOWL,"2019 — Sioux Falls, SD/US",8,LD,Novice LD
dwekcsnf,LINCOLN SILVER BOWL,"2019 — Sioux Falls, SD/US",20,LD,Varsity LD
xhoaxywm,LINCOLN SILVER BOWL,"2019 — Sioux Falls, SD/US",14,PF,JV Public Forum
pewaqisg,LINCOLN SILVER BOWL,"2019 — Sioux Falls, SD/US",23,PF,Novice Public Forum
drfkzyft,LINCOLN SILVER BOWL,"2019 — Sioux Falls, SD/US",27,PF,Varsity Public Forum
bnpcowtz,CFC 2,"2019 — Sioux Falls Washington, SD/US",13,LD,Varsity Lincoln-Douglas
ggjmbdir,CFC 2,"2019 — Sioux Falls Washington, SD/US",13,PF,Novice Public Forum
mgzhqdzt,CFC 2,"2019 — Sioux Falls Washington, SD/US",16,PF,Varsity Public Forum
fipbnymz,BROOKINGS BELL,"2018 — Brookings, SD/US",6,LD,Novice LD
hoisjgau,BROOKINGS BELL,"2018 — Brookings, SD/US",12,LD,Varsity LD
lxxganhf,BROOKINGS BELL,"2018 — Brookings, SD/US",6,PF,JV Public Forum
fgmmjfsk,BROOKINGS BELL,"2018 — Brookings, SD/US",24,PF,Novice Public Forum
bppohumu,BROOKINGS BELL,"2018 — Brookings, SD/US",26,PF,Varsity Public Forum
cmoiyqrn,WARRIOR NOVICE EXTRAVAGANZA,"2018 — Sioux Falls, SD/US",14,PF,Public Forum
itbiddqa,LINCOLN COUNTY QUARREL NOVICE DEBATE TOURNAMENT,"2018 — Harrisburg, SD/US",4,LD,LD
hgltnafj,LINCOLN COUNTY QUARREL NOVICE DEBATE TOURNAMENT,"2018 — Harrisburg, SD/US",35,PF,PF
xswkvxfd,GEORGE MCGOVERN FORENSIC INVITATIONAL AT MITCHELL HIGH SCHOOL,"2018 — Mitchell, SD/US",5,LD,Novice Lincoln-Douglas
dcoyuftj,GEORGE MCGOVERN FORENSIC INVITATIONAL AT MITCHELL HIGH SCHOOL,"2018 — Mitchell, SD/US",16,LD,Varsity Lincoln-Douglas
isalsoha,GEORGE MCGOVERN FORENSIC INVITATIONAL AT MITCHELL HIGH SCHOOL,"2018 — Mitchell, SD/US",12,PF,Junior Varsity Public Forum
byhqoefc,GEORGE MCGOVERN FORENSIC INVITATIONAL AT MITCHELL HIGH SCHOOL,"2018 — Mitchell, SD/US",36,PF,Novice Public Forum
hpquqmrp,GEORGE MCGOVERN FORENSIC INVITATIONAL AT MITCHELL HIGH SCHOOL,"2018 — Mitchell, SD/US",27,PF,Varsity Public Forum
upztimgi,SFR NOVICE TOURNAMENT,"2018 — Sioux Falls, SD/US",3,LD,Lincoln Douglas
nlakxxyj,SFR NOVICE TOURNAMENT,"2018 — Sioux Falls, SD/US",29,PF,Public Forum
vmtdqlky,SFR NOVICE TOURNAMENT,"2018 — Sioux Falls, SD/US",14,PF,SFR Public Forum
gbdsoukq,SF ROOSEVELT SWEETSTAKES,2018 — SD/US,4,LD,Novice Lincoln Douglas
xaxamfzx,SF ROOSEVELT SWEETSTAKES,2018 — SD/US,18,LD,Varsity Lincoln Douglas
yvxkxozn,SF ROOSEVELT SWEETSTAKES,2018 — SD/US,38,PF,Novice Public Forum
xnqqxmqd,SF ROOSEVELT SWEETSTAKES,2018 — SD/US,47,PF,Varsity Public Forum
txsatnyf,OGORMAN NOVICE JOUST,"2018 — Sioux Falls O'Gorman HS, SD/US",6,LD,Lincoln-Douglas
ksrukxds,OGORMAN NOVICE JOUST,"2018 — Sioux Falls O'Gorman HS, SD/US",49,PF,Public Forum
vniqwwzy,SFL NOVICE AFTERSCHOOL,"2018 — Sioux Falls, SD/US",6,LD,Novice LD
zkypdwkf,SFL NOVICE AFTERSCHOOL,"2018 — Sioux Falls, SD/US",31,PF,Novice Public Forum
lqaybdeh,CFC 3,"2018 — Brandon, SD/US",9,LD,Novice Lincoln-Douglas
lavrssmk,CFC 3,"2018 — Brandon, SD/US",19,LD,Varsity Lincoln-Douglas
pbugfhwq,CFC 3,"2018 — Brandon, SD/US",9,PF,Novice Public Forum
phiikelw,CFC 3,"2018 — Brandon, SD/US",32,PF,Varsity Public Forum
fdfhpvul,2018 LINCOLN SILVER BOWL,"2018 — Sioux Falls, SD/US",15,LD,Novice LD
pobwijuf,2018 LINCOLN SILVER BOWL,"2018 — Sioux Falls, SD/US",21,LD,Varsity LD
nevpatwy,2018 LINCOLN SILVER BOWL,"2018 — Sioux Falls, SD/US",18,PF,JV Public Forum
gnngazyj,2018 LINCOLN SILVER BOWL,"2018 — Sioux Falls, SD/US",17,PF,Novice Public Forum
ubjdaupj,2018 LINCOLN SILVER BOWL,"2018 — Sioux Falls, SD/US",28,PF,Varsity Public Forum
mgugfwoa,BROOKINGS BELL,2017 — SD/US,6,LD,Novice LD
