"","event","tournament","gender","pts","division","win","judge_gender","round","year"
"443","PF","harrisburg",0,27,"V",0,1,"prelim",2017
"445","PF","silver",0,27.5,"JV",0,1,"prelim",2018
"446","PF","silver",0,29,"JV",1,1,"prelim",2018
"447","PF","mcgov",1,28,"V",1,1,"prelim",2021
"448","PF","sweet",1,28,"V",1,1,"prelim",2017
"449","PF","sweet",0,28,"V",1,1,"prelim",2018
"450","PF","sweet",0,27,"V",0,1,"prelim",2016
"452","PF","bell",1,28,"JV",1,1,"prelim",2015
"453","PF","sweet",1,29,"V",1,1,"prelim",2017
"454","PF","bell",1,26,"JV",1,1,"prelim",2015
"455","PF","sweet",1,28,"V",1,1,"prelim",2017
"456","PF","mcgov",1,27,"N",0,1,"prelim",2021
"457","PF","cfc",0,27,"V",0,1,"prelim",2018
"458","PF","silver",1,28,"V",1,1,"prelim",2018
"459","PF","silver",0,29,"V",1,1,"prelim",2018
"460","PF","sweet",NA,24,"N",0,1,"prelim",2016
"461","PF","novice",1,26,"N",0,1,"prelim",2016
"462","PF","silver",1,27,"N",0,1,"prelim",2018
"463","PF","cfc",1,26,"N",1,1,"prelim",2017
"464","PF","UNOFFICIAL DAK 12 TOURNAMENT",0,27,NA,0,1,"prelim",2017
"465","PF","UNOFFICIAL DAK 12 TOURNAMENT",0,30,NA,1,1,"prelim",2017
"466","PF","novice",NA,27.5,"N",0,1,"prelim",2016
"467","PF","novice",0,27.3,"N",1,1,"prelim",2016
"468","PF","sweet",0,29.2,"V",1,1,"prelim",2015
"469","PF","sweet",0,28.1,"V",1,1,"prelim",2015
"470","PF","bell",0,28,"V",0,1,"prelim",2015
"471","PF","silver",0,28,"V",0,1,"prelim",2016
"472","PF","silver",0,20,"N",0,1,"prelim",2016
"473","PF","sweet",0,26.8,"V",0,1,"prelim",2015
"474","PF","bell",0,28,"JV",1,1,"prelim",2015
"475","PF","harrisburg",1,28,"V",0,1,"prelim",2016
"476","PF","silver",0,28,"V",0,1,"prelim",2016
"477","PF","harrisburg",1,28,"V",0,1,"prelim",2016
"483","PF","novice",0,28,"N",0,1,"prelim",2018
"490","PF","sweet",0,25,"N",0,0,"prelim",2019
"491","PF","mcgov",1,27,"N",1,1,"prelim",2021
"492","PF","mcgov",1,29,"N",0,1,"prelim",2021
"493","PF","mcgov",0,29,"JV",0,1,"prelim",2021
"494","PF","novice",0,28,"N",1,0,"prelim",2016
"495","PF","novice",1,27,"N",0,0,"prelim",2016
"496","PF","novice",0,28,"N",1,0,"prelim",2016
"500","PF","gec",0,NA,"JV",0,1,"prelim",2021
"502","PF","cfc",NA,25,"N",0,1,"prelim",2017
"503","PF","yankton",NA,28,"N",1,1,"prelim",2019
"504","PF","harrisburg",1,29,"N",0,1,"prelim",2019
"506","PF","bell",1,30,"N",1,1,"prelim",2018
"507","PF","yankton",1,30,"N",1,1,"prelim",2019
"508","PF","yankton",1,30,"V",0,1,"prelim",2019
"509","PF","yankton",0,27,"N",0,1,"prelim",2019
"510","PF","gec",1,NA,"V",1,1,"prelim",2021
"511","PF","silver",0,27,"V",0,1,"prelim",2019
"512","PF","yankton",1,27,"JV",1,1,"prelim",2021
"513","PF","silver",0,30,"N",1,1,"prelim",2019
"514","PF","bell",1,28,"V",0,1,"prelim",2018
"515","PF","sweet",0,29.8,"N",1,1,"prelim",2015
"516","PF","sweet",0,27,"N",1,1,"prelim",2015
